constituency,code,direction,win_lose,party,candidate,votes,perc_share,change
Belfast East,N06000001,DUP HOLD,win,Democratic Unionist Party,Gavin Robinson,"20,874",49.2,-6.6
Belfast East,N06000001,DUP HOLD,lose,Alliance Party,Naomi Long,"19,055",44.9,+8.9
Belfast East,N06000001,DUP HOLD,lose,Ulster Unionist Party,Carl McClean,"2,516",5.9,+2.6
Belfast North,N06000002,SF GAIN FROM DUP,win,Sinn Féin,John Finucane,"23,078",47.1,+5.4
Belfast North,N06000002,SF GAIN FROM DUP,lose,Democratic Unionist Party,Nigel Dodds,"21,135",43.1,-3.1
Belfast North,N06000002,SF GAIN FROM DUP,lose,Alliance Party,Nuala McAllister,"4,824",9.8,+4.4
Belfast South,N06000003,SDLP GAIN FROM DUP,win,Social Democratic & Labour Party,Claire Hanna,"27,079",57.2,+31.3
Belfast South,N06000003,SDLP GAIN FROM DUP,lose,Democratic Unionist Party,Emma Little Pengelly,"11,678",24.7,-5.8
Belfast South,N06000003,SDLP GAIN FROM DUP,lose,Alliance Party,Paula Bradshaw,"6,786",14.3,-3.9
Belfast South,N06000003,SDLP GAIN FROM DUP,lose,Ulster Unionist Party,Michael Henderson,"1,259",2.7,-0.8
Belfast South,N06000003,SDLP GAIN FROM DUP,lose,Aontú,Chris McHugh,550,1.2,+1.2
Belfast West,N06000004,SF HOLD,win,Sinn Féin,Paul Maskey,"20,866",53.8,-12.9
Belfast West,N06000004,SF HOLD,lose,People Before Profit,Gerry Carroll,"6,194",16.0,+5.8
Belfast West,N06000004,SF HOLD,lose,Democratic Unionist Party,Frank McCoubrey,"5,220",13.5,0.0
Belfast West,N06000004,SF HOLD,lose,Social Democratic & Labour Party,Paul Doherty,"2,985",7.7,+0.7
Belfast West,N06000004,SF HOLD,lose,Alliance Party,Donnamarie Higgins,"1,882",4.9,+3.1
Belfast West,N06000004,SF HOLD,lose,Aontú,Monica Digney,"1,635",4.2,+4.2
East Antrim,N06000005,DUP HOLD,win,Democratic Unionist Party,Sammy Wilson,"16,871",45.3,-12.1
East Antrim,N06000005,DUP HOLD,lose,Alliance Party,Danny Donnelly,"10,165",27.3,+11.7
East Antrim,N06000005,DUP HOLD,lose,Ulster Unionist Party,Steve Aiken,"5,475",14.7,+2.8
East Antrim,N06000005,DUP HOLD,lose,Sinn Féin,Oliver McMullan,"2,120",5.7,-3.6
East Antrim,N06000005,DUP HOLD,lose,Conservative,Aaron Rankin,"1,043",2.8,+0.3
East Antrim,N06000005,DUP HOLD,lose,Social Democratic & Labour Party,Angela Mulholland,902,2.4,-0.9
East Antrim,N06000005,DUP HOLD,lose,Green,Philip Randle,685,1.8,+1.8
East Londonderry,N06000006,DUP HOLD,win,Democratic Unionist Party,Gregory Campbell,"15,765",40.1,-8.0
East Londonderry,N06000006,DUP HOLD,lose,Social Democratic & Labour Party,Cara Hunter,"6,158",15.7,+4.9
East Londonderry,N06000006,DUP HOLD,lose,Sinn Féin,Dermot Nicholl,"6,128",15.6,-10.9
East Londonderry,N06000006,DUP HOLD,lose,Alliance Party,Chris McCaw,"5,921",15.1,+8.9
East Londonderry,N06000006,DUP HOLD,lose,Ulster Unionist Party,Richard Holmes,"3,599",9.2,+1.5
East Londonderry,N06000006,DUP HOLD,lose,Aontú,Seán McNicholl,"1,731",4.4,+4.4
Fermanagh & South Tyrone,N06000007,SF HOLD,win,Sinn Féin,Michelle Gildernew,"21,986",43.3,-3.9
Fermanagh & South Tyrone,N06000007,SF HOLD,lose,Ulster Unionist Party,Tom Elliott,"21,929",43.2,-2.3
Fermanagh & South Tyrone,N06000007,SF HOLD,lose,Social Democratic & Labour Party,Adam Gannon,"3,446",6.8,+2.0
Fermanagh & South Tyrone,N06000007,SF HOLD,lose,Alliance Party,Matthew Beaumont,"2,650",5.2,+3.6
Fermanagh & South Tyrone,N06000007,SF HOLD,lose,Independent,Caroline Wheeler,751,1.5,+1.5
Foyle,N06000008,SDLP GAIN FROM SF,win,Social Democratic & Labour Party,Colum Eastwood,"26,881",57.0,+17.7
Foyle,N06000008,SDLP GAIN FROM SF,lose,Sinn Féin,Elisha McCallion,"9,771",20.7,-19.0
Foyle,N06000008,SDLP GAIN FROM SF,lose,Democratic Unionist Party,Gary Middleton,"4,772",10.1,-6.0
Foyle,N06000008,SDLP GAIN FROM SF,lose,Aontú,Anne McCloskey,"2,032",4.3,+4.3
Foyle,N06000008,SDLP GAIN FROM SF,lose,People Before Profit,Shaun Harkin,"1,332",2.8,-0.2
Foyle,N06000008,SDLP GAIN FROM SF,lose,Alliance Party,Rachael Ferguson,"1,267",2.7,+0.8
Foyle,N06000008,SDLP GAIN FROM SF,lose,Ulster Unionist Party,Darren Guy,"1,088",2.3,+2.3
Lagan Valley,N06000009,DUP HOLD,win,Democratic Unionist Party,Jeffrey Donaldson,"19,586",43.1,-16.4
Lagan Valley,N06000009,DUP HOLD,lose,Alliance Party,Sorcha Eastwood,"13,087",28.8,+17.7
Lagan Valley,N06000009,DUP HOLD,lose,Ulster Unionist Party,Robbie Butler,"8,606",19.0,+2.2
Lagan Valley,N06000009,DUP HOLD,lose,Social Democratic & Labour Party,Ally Haydock,"1,758",3.9,-3.7
Lagan Valley,N06000009,DUP HOLD,lose,Sinn Féin,Gary McCleave,"1,098",2.4,-1.1
