constituency,code,direction,win_lose,party,candidate,votes,perc_share,change
Glasgow North,S14000031,SNP HOLD,win,Scottish National Party,Patrick Grady,"16,982",46.9,+9.3
Glasgow North,S14000031,SNP HOLD,lose,Labour,Pam Duncan-Glancy,"11,381",31.4,-3.0
Glasgow North,S14000031,SNP HOLD,lose,Conservative,Tony Curtis,"3,806",10.5,-4.2
Glasgow North,S14000031,SNP HOLD,lose,Liberal Democrat,Andrew Chamberlain,"2,394",6.6,+3.2
Glasgow North,S14000031,SNP HOLD,lose,Green,Cass Macgregor,"1,308",3.6,-6.1
Glasgow North,S14000031,SNP HOLD,lose,The Brexit Party,Dionne Cocozza,320,0.9,+0.9
Glasgow North East,S14000032,SNP GAIN FROM LAB,win,Scottish National Party,Anne McLaughlin,"15,911",46.9,+4.7
Glasgow North East,S14000032,SNP GAIN FROM LAB,lose,Labour,Paul Sweeney,"13,363",39.4,-3.5
Glasgow North East,S14000032,SNP GAIN FROM LAB,lose,Conservative,Lauren Bennie,"3,558",10.5,-2.4
Glasgow North East,S14000032,SNP GAIN FROM LAB,lose,Liberal Democrat,Nicholas Moohan,"1,093",3.2,+1.2
Glasgow North West,S14000033,SNP HOLD,win,Scottish National Party,Carol Monaghan,"19,678",49.5,+7.0
Glasgow North West,S14000033,SNP HOLD,lose,Labour,Patricia Ferguson,"11,319",28.5,-7.4
Glasgow North West,S14000033,SNP HOLD,lose,Conservative,Ade Aibinu,"6,022",15.2,-2.9
Glasgow North West,S14000033,SNP HOLD,lose,Liberal Democrat,James Speirs,"2,716",6.8,+3.3
Glasgow South,S14000034,SNP HOLD,win,Scottish National Party,Stewart McDonald,"22,829",48.1,+7.0
Glasgow South,S14000034,SNP HOLD,lose,Labour,Johann Lamont,"13,824",29.1,-7.4
Glasgow South,S14000034,SNP HOLD,lose,Conservative,Kyle Thornton,"6,237",13.1,-5.9
Glasgow South,S14000034,SNP HOLD,lose,Liberal Democrat,Carole Ford,"2,786",5.9,+2.6
Glasgow South,S14000034,SNP HOLD,lose,Green,Dan Hutchison,"1,251",2.6,+2.6
Glasgow South,S14000034,SNP HOLD,lose,The Brexit Party,Danyaal Raja,516,1.1,+1.1
Glasgow South West,S14000035,SNP HOLD,win,Scottish National Party,Chris Stephens,"17,643",47.9,+7.2
Glasgow South West,S14000035,SNP HOLD,lose,Labour,Matt Kerr,"12,743",34.6,-5.9
Glasgow South West,S14000035,SNP HOLD,lose,Conservative,Thomas Haddow,"4,224",11.5,-4.2
Glasgow South West,S14000035,SNP HOLD,lose,Liberal Democrat,Ben Denton-Cardew,"1,435",3.9,+2.0
Glasgow South West,S14000035,SNP HOLD,lose,The Brexit Party,Peter Brown,802,2.2,+2.2
Aberdeen North,S14000001,SNP HOLD,win,Scottish National Party,Kirsty Blackman,"20,205",54.0,+12.7
Aberdeen North,S14000001,SNP HOLD,lose,Conservative,Ryan Houghton,"7,535",20.1,-2.6
Aberdeen North,S14000001,SNP HOLD,lose,Labour,Nurul Ali,"4,939",13.2,-16.8
Aberdeen North,S14000001,SNP HOLD,lose,Liberal Democrat,Isobel Davidson,"2,846",7.6,+3.0
Aberdeen North,S14000001,SNP HOLD,lose,The Brexit Party,Seb Leslie,"1,008",2.7,+2.7
Aberdeen North,S14000001,SNP HOLD,lose,Green,Guy Ingerson,880,2.4,+2.4
Dunbartonshire East,S14000018,SNP GAIN FROM LD,win,Scottish National Party,Amy Callaghan,"19,672",37.1,+6.8
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,Liberal Democrat,Jo Swinson,"19,523",36.8,-3.8
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,Conservative,Pam Gosal,"7,455",14.1,-0.5
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,Labour,Callum McNally,"4,839",9.1,-5.4
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,Green,Carolynn Scrimgeour,916,1.7,+1.7
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,Independent,Rosie Dickson,221,0.4,+0.4
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,UKIP,Donald MacKay,208,0.4,+0.4
Dunbartonshire East,S14000018,SNP GAIN FROM LD,lose,Scottish Family Party,Liam McKechnie,197,0.4,+0.4
Aberdeen South,S14000002,SNP GAIN FROM CON,win,Scottish National Party,Stephen Flynn,"20,388",44.7,+13.2
Aberdeen South,S14000002,SNP GAIN FROM CON,lose,Conservative,Douglas Lumsden,"16,398",35.9,-6.2
Aberdeen South,S14000002,SNP GAIN FROM CON,lose,Liberal Democrat,Ian Yuill,"5,018",11.0,+5.1
Aberdeen South,S14000002,SNP GAIN FROM CON,lose,Labour,Shona Simpson,"3,834",8.4,-12.1
Airdrie & Shotts,S14000003,SNP HOLD,win,Scottish National Party,Neil Gray,"17,929",45.1,+7.5
Airdrie & Shotts,S14000003,SNP HOLD,lose,Labour,Helen McFarlane,"12,728",32.0,-5.1
Airdrie & Shotts,S14000003,SNP HOLD,lose,Conservative,Lorraine Nolan,"7,011",17.6,-5.6
Airdrie & Shotts,S14000003,SNP HOLD,lose,Liberal Democrat,William Crossman,"1,419",3.6,+1.5
Airdrie & Shotts,S14000003,SNP HOLD,lose,Green,Rosemary McGowan,685,1.7,+1.7
Angus,S14000004,SNP GAIN FROM CON,win,Scottish National Party,Dave Doogan,"21,216",49.1,+10.6
Angus,S14000004,SNP GAIN FROM CON,lose,Conservative,Kirstene Hair,"17,421",40.4,-4.8
Angus,S14000004,SNP GAIN FROM CON,lose,Liberal Democrat,Ben Lawrie,"2,482",5.7,+2.5
Angus,S14000004,SNP GAIN FROM CON,lose,Labour,Monique Miller,"2,051",4.8,-8.3
Argyll & Bute,S14000005,SNP HOLD,win,Scottish National Party,Brendan O'Hara,"21,040",43.8,+7.8
Argyll & Bute,S14000005,SNP HOLD,lose,Conservative,Gary Mulvaney,"16,930",35.2,+2.0
Argyll & Bute,S14000005,SNP HOLD,lose,Liberal Democrat,Alan Reid,"6,832",14.2,-4.0
Argyll & Bute,S14000005,SNP HOLD,lose,Labour,Rhea Barnes,"3,248",6.8,-5.8
"Ayr, Carrick & Cumnock",S14000006,SNP GAIN FROM CON,win,Scottish National Party,Allan Dorans,"20,272",43.5,+9.4
"Ayr, Carrick & Cumnock",S14000006,SNP GAIN FROM CON,lose,Conservative,Martin Dowey,"17,943",38.5,-1.6
"Ayr, Carrick & Cumnock",S14000006,SNP GAIN FROM CON,lose,Labour,Duncan Townson,"6,219",13.3,-10.5
"Ayr, Carrick & Cumnock",S14000006,SNP GAIN FROM CON,lose,Liberal Democrat,Helena Bongard,"2,158",4.6,+2.7
Banff & Buchan,S14000007,CON HOLD,win,Conservative,David Duguid,"21,182",50.1,+2.2
Banff & Buchan,S14000007,CON HOLD,lose,Scottish National Party,Paul Robertson,"17,064",40.4,+1.3
Banff & Buchan,S14000007,CON HOLD,lose,Liberal Democrat,Alison Smith,"2,280",5.4,+1.9
Banff & Buchan,S14000007,CON HOLD,lose,Labour,Brian Balcombe,"1,734",4.1,-5.3
"Berwickshire, Roxburgh & Selkirk",S14000008,CON HOLD,win,Conservative,John Lamont,"25,747",48.4,-5.4
"Berwickshire, Roxburgh & Selkirk",S14000008,CON HOLD,lose,Scottish National Party,Calum Kerr,"20,599",38.8,+6.0
"Berwickshire, Roxburgh & Selkirk",S14000008,CON HOLD,lose,Liberal Democrat,Jenny Marr,"4,287",8.1,+3.3
"Berwickshire, Roxburgh & Selkirk",S14000008,CON HOLD,lose,Labour,Ian Davidson,"2,513",4.7,-3.9
"Caithness, Sutherland & Easter Ross",S14000009,LD HOLD,win,Liberal Democrat,Jamie Stone,"11,705",37.2,+1.4
"Caithness, Sutherland & Easter Ross",S14000009,LD HOLD,lose,Scottish National Party,Karl Rosie,"11,501",36.6,+7.4
"Caithness, Sutherland & Easter Ross",S14000009,LD HOLD,lose,Conservative,Andrew Sinclair,"5,176",16.5,-6.2
"Caithness, Sutherland & Easter Ross",S14000009,LD HOLD,lose,Labour,Cheryl McDonald,"1,936",6.2,-6.2
"Caithness, Sutherland & Easter Ross",S14000009,LD HOLD,lose,The Brexit Party,Sandra Skinner,"1,139",3.6,+3.6
Ayrshire Central,S14000010,SNP HOLD,win,Scottish National Party,Philippa Whitford,"21,486",46.2,+9.0
Ayrshire Central,S14000010,SNP HOLD,lose,Conservative,Derek Stillie,"16,182",34.8,+0.4
Ayrshire Central,S14000010,SNP HOLD,lose,Labour,Louise McPhater,"6,583",14.1,-11.9
Ayrshire Central,S14000010,SNP HOLD,lose,Liberal Democrat,Emma Farthing,"2,283",4.9,+2.6
"Coatbridge, Chryston & Bellshill",S14000011,SNP GAIN FROM LAB,win,Scottish National Party,Steven Bonnar,"22,680",47.0,+7.9
"Coatbridge, Chryston & Bellshill",S14000011,SNP GAIN FROM LAB,lose,Labour,Hugh Gaffney,"17,056",35.4,-7.2
"Coatbridge, Chryston & Bellshill",S14000011,SNP GAIN FROM LAB,lose,Conservative,Nathan Wilson,"6,113",12.7,-3.6
"Coatbridge, Chryston & Bellshill",S14000011,SNP GAIN FROM LAB,lose,Liberal Democrat,David Stevens,"1,564",3.2,+1.2
"Coatbridge, Chryston & Bellshill",S14000011,SNP GAIN FROM LAB,lose,Green,Patrick McAleer,808,1.7,+1.7
"Cumbernauld, Kilsyth & Kirkintilloch East",S14000012,SNP HOLD,win,Scottish National Party,Stuart McDonald,"24,158",52.9,+9.3
"Cumbernauld, Kilsyth & Kirkintilloch East",S14000012,SNP HOLD,lose,Labour,James McPhilemy,"11,182",24.5,-9.4
"Cumbernauld, Kilsyth & Kirkintilloch East",S14000012,SNP HOLD,lose,Conservative,Roz McCall,"7,380",16.2,-2.1
"Cumbernauld, Kilsyth & Kirkintilloch East",S14000012,SNP HOLD,lose,Liberal Democrat,Susan Murray,"2,966",6.5,+3.7
Dumfries & Galloway,S14000013,CON HOLD,win,Conservative,Alister Jack,"22,678",44.1,+0.8
Dumfries & Galloway,S14000013,CON HOLD,lose,Scottish National Party,Richard Arkless,"20,873",40.6,+8.2
Dumfries & Galloway,S14000013,CON HOLD,lose,Labour,Ted Thompson,"4,745",9.2,-11.7
Dumfries & Galloway,S14000013,CON HOLD,lose,Liberal Democrat,McNabb Laurie,"3,133",6.1,+3.7
"Dumfriesshire, Clydesdale & Tweeddale",S14000014,CON HOLD,win,Conservative,David Mundell,"22,611",46.0,-3.4
"Dumfriesshire, Clydesdale & Tweeddale",S14000014,CON HOLD,lose,Scottish National Party,Amanda Burgauer,"18,830",38.3,+8.2
"Dumfriesshire, Clydesdale & Tweeddale",S14000014,CON HOLD,lose,Labour,Nick Chisholm,"4,172",8.5,-8.1
"Dumfriesshire, Clydesdale & Tweeddale",S14000014,CON HOLD,lose,Liberal Democrat,John Ferry,"3,540",7.2,+3.2
Dundee East,S14000015,SNP HOLD,win,Scottish National Party,Stewart Hosie,"24,361",53.8,+11.0
Dundee East,S14000015,SNP HOLD,lose,Conservative,Philip Scott,"10,986",24.3,-3.1
Dundee East,S14000015,SNP HOLD,lose,Labour,Rosalind Garton,"6,045",13.4,-12.7
Dundee East,S14000015,SNP HOLD,lose,Liberal Democrat,Michael Crichton,"3,573",7.9,+4.1
Dundee East,S14000015,SNP HOLD,lose,Independent,George Morton,312,0.7,+0.7
Dundee West,S14000016,SNP HOLD,win,Scottish National Party,Chris Law,"22,355",53.8,+7.1
Dundee West,S14000016,SNP HOLD,lose,Labour,Jim Malone,"10,096",24.3,-8.8
Dundee West,S14000016,SNP HOLD,lose,Conservative,Tess White,"5,149",12.4,-3.8
Dundee West,S14000016,SNP HOLD,lose,Liberal Democrat,Daniel Coleman,"2,468",5.9,+2.9
Dundee West,S14000016,SNP HOLD,lose,The Brexit Party,Stuart Waiton,"1,271",3.1,+3.1
