constituency,code,direction,win_lose,party,candidate,votes,perc_share,change
Ynys Mon,W07000041,CON GAIN FROM LAB,win,Conservative,Virginia Crosbie,"12,959",35.5,+7.7
Ynys Mon,W07000041,CON GAIN FROM LAB,lose,Labour,Mary Roberts,"10,991",30.1,-11.8
Ynys Mon,W07000041,CON GAIN FROM LAB,lose,Plaid Cymru,Aled ap Dafydd,"10,418",28.5,+1.1
Ynys Mon,W07000041,CON GAIN FROM LAB,lose,The Brexit Party,Helen Jenner,"2,184",6.0,+6.0
Swansea West,W07000047,LAB HOLD,win,Labour,Geraint Davies,"18,493",51.6,-8.1
Swansea West,W07000047,LAB HOLD,lose,Conservative,James Price,"10,377",29.0,-2.4
Swansea West,W07000047,LAB HOLD,lose,Liberal Democrat,Michael O'Carroll,"2,993",8.4,+4.9
Swansea West,W07000047,LAB HOLD,lose,Plaid Cymru,Gwyn Williams,"1,984",5.5,+1.4
Swansea West,W07000047,LAB HOLD,lose,The Brexit Party,Peter Hopkins,"1,983",5.5,+5.5
Swansea East,W07000048,LAB HOLD,win,Labour,Carolyn Harris,"17,405",51.8,-11.6
Swansea East,W07000048,LAB HOLD,lose,Conservative,Denise Howard,"9,435",28.1,+2.1
Swansea East,W07000048,LAB HOLD,lose,The Brexit Party,Tony Willicombe,"2,842",8.5,+8.5
Swansea East,W07000048,LAB HOLD,lose,Plaid Cymru,Geraint Havard,"1,905",5.7,+0.9
Swansea East,W07000048,LAB HOLD,lose,Liberal Democrat,Chloe Hutchinson,"1,409",4.2,+2.4
Swansea East,W07000048,LAB HOLD,lose,Green,Chris Evans,583,1.7,+0.7
Delyn,W07000042,CON GAIN FROM LAB,win,Conservative,Rob Roberts,"16,756",43.7,+2.2
Delyn,W07000042,CON GAIN FROM LAB,lose,Labour,David Hanson,"15,891",41.4,-10.8
Delyn,W07000042,CON GAIN FROM LAB,lose,Liberal Democrat,Andrew Parkhurst,"2,346",6.1,+3.5
Delyn,W07000042,CON GAIN FROM LAB,lose,The Brexit Party,Nigel Williams,"1,971",5.1,+5.1
Delyn,W07000042,CON GAIN FROM LAB,lose,Plaid Cymru,Paul Rowlinson,"1,406",3.7,-0.1
Alyn & Deeside,W07000043,LAB HOLD,win,Labour,Mark Tami,"18,271",42.5,-9.6
Alyn & Deeside,W07000043,LAB HOLD,lose,Conservative,Sanjoy Sen,"18,058",42.0,+1.6
Alyn & Deeside,W07000043,LAB HOLD,lose,The Brexit Party,Simon Wall,"2,678",6.2,+6.2
Alyn & Deeside,W07000043,LAB HOLD,lose,Liberal Democrat,Donna Lalek,"2,548",5.9,+3.5
